qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
8e85a6bd086311ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.25,1.0,144.0,1.0,1.0
a4939cfc08f711ebbdaaac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5369,0.5,149.0,1.0,1.0
f5e7f8f80bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3014,0.5,146.0,0.5,0.0
93acf0b9088511ebbd6dac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.589,1.0,146.0,1.0,1.0
f6dce6440bae11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2857,0.0,0.2437,0.5,160.0,0.5,0.0
57431f700bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2053,0.5,151.0,1.0,1.0
d64d24180bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2361,0.5,144.0,0.5,0.0
b5f30a800bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.6,0.0,0.2839,0.5,155.0,0.5,0.0
a5e0af240bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1295,0.5,139.0,0.5,0.0
c5d5e525088811ebbd6eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5897,0.5,156.0,0.5,0.0
6c40a31c0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1871,0.5,155.0,0.5,0.0
6062845a0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5804,0.5,143.0,0.5,0.0
748446060bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,143.0,0.5,0.0
62ab6bbe0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3057,0.5,157.0,0.5,0.0
adde63860baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.25,0.0,0.35,0.5,140.0,1.0,1.0
4800bb8a0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,145.0,0.5,0.0
97cee43a0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2908,0.5,141.0,0.5,0.0
1b8b2c9b085711ebbd59ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.3871,0.25,155.0,0.5,0.0
661440ce0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2273,0.5,154.0,0.5,0.0
e0805d20086811ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6259,0.5,139.0,0.5,0.0
8cca23e5091611ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4516,1.0,155.0,1.0,1.0
430d584d08e511ebbda4ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.269,0.5,145.0,1.0,1.0
a8d938b80bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2562,0.5,121.0,0.5,0.0
462bb642099211ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.4141,1.0,128.0,1.0,1.0
59ad2d780bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1528,0.5,144.0,1.0,1.0
3936b550089f11ebbd78ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.109,0.25,156.0,0.5,0.0
42a2068a0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2727,0.5,154.0,0.5,0.0
b8ef144a0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,148.0,0.5,0.0
27987581093611ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5535,1.0,159.0,1.0,1.0
6243faca0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,148.0,0.5,0.0
b9c4f68a08f111ebbda9ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.6752,1.0,157.0,1.0,1.0
96d89ea0095b11ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5849,1.0,159.0,1.0,1.0
f68b59ac0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2051,0.5,117.0,1.0,1.0
a1d9a65c0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1942,0.5,139.0,0.5,0.0
299c6110086a11ebbd5fac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.1558,0.25,154.0,0.5,0.0
18fa62c20bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3262,0.5,141.0,0.5,0.0
2e9cc8d60bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2075,0.5,159.0,0.5,0.0
022a3dd40bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0993,0.5,141.0,0.5,0.0
655a05b0089a11ebbd77ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.1625,0.25,160.0,0.5,0.0
7ab366f60bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1899,0.5,158.0,0.5,0.0
82cf1051087111ebbd63ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.475,0.5,160.0,0.5,0.0
6bb800f00bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,140.0,1.0,1.0
57e7c378087311ebbd66ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4929,1.0,140.0,1.0,1.0
